Product Name,Price,Original Price,Discount,Rating,Reviews,Product URL,Image URL
"realme GT 2 Pro (Steel Black, 128 GB)","₹25,990","₹57,999","55% off","4.2","5,474 Ratings","https://www.flipkart.com/realme-gt-2-pro-steel-black-128-gb/p/itm125e5a8c1de92?pid=MOBGCRYZFJMG84ZE&lid=LSTMOBGCRYZFJMG84ZEK0SSWJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_72&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBGCRYZFJMG84ZE.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/3/o/b/-original-imagetmeqj2tndqx.jpeg?q=70"
"realme P4 Lite (Beach Gold, 64 GB)","₹11,999","₹24,999","52% off","4","3,570 Ratings","https://www.flipkart.com/realme-p4-lite-beach-gold-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KF4XYHTDM&lid=LSTMOBHMX7KF4XYHTDMBW6TWC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHMX7KF4XYHTDM.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/a/a/-original-imahmx82vachdh9z.jpeg?q=70"
"realme P4 Lite (Sea Blue, 64 GB)","₹11,999","₹24,999","52% off","4","3,570 Ratings","https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UYOGZ28&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/g/q/-original-imahmx8fh8pacxjf.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹16,249","₹32,999","50% off","4.3","8,578 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-128-gb/p/itm90c243961f214?pid=MOBHN7A8MNWG6FFH&lid=LSTMOBHN7A8MNWG6FFHNRI9KK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHN7A8MNWG6FFH.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/z/a/-original-imahhngs3z46gnew.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹16,249","₹32,999","50% off","4.3","8,578 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-128-gb/p/itm90c243961f214?pid=MOBHN7A8PBUWNHG5&lid=LSTMOBHN7A8PBUWNHG5BENLLV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHN7A8PBUWNHG5.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/j/x/-original-imahhngsymvs8bfs.jpeg?q=70"
"OPPO A6c (Stone Brown, 128 GB)","₹16,999","₹33,999","50% off","3.3","31 Ratings","https://www.flipkart.com/oppo-a6c-stone-brown-128-gb/p/itm4005f8da98c62?pid=MOBHNQZKWNYBJBWX&lid=LSTMOBHNQZKWNYBJBWXZ6BX5O&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a77e2f28-7c6a-4936-8038-25dde7cf7647.MOBHNQZKWNYBJBWX.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/u/h/-original-imahz5hzdgz8fhjj.jpeg?q=70"
"OPPO A6c (Feather White, 128 GB)","₹16,999","₹33,999","50% off","3.3","31 Ratings","https://www.flipkart.com/oppo-a6c-feather-white-128-gb/p/itm4005f8da98c62?pid=MOBHNQZKFZCSXMXK&lid=LSTMOBHNQZKFZCSXMXKQKYCPV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_59&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHNQZKFZCSXMXK.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/z/b/-original-imahz5hzmvgpbngy.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹18,749","₹36,999","49% off","4.3","1,427 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-128-gb/p/itm90c243961f214?pid=MOBHN7A8AG9TYTW6&lid=LSTMOBHN7A8AG9TYTW6XV24FV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHN7A8AG9TYTW6.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/z/a/-original-imahhngs3z46gnew.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹14,749","₹28,999","49% off","4.3","8,578 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-64-gb/p/itm90c243961f214?pid=MOBHN7A8SZ7F9C7T&lid=LSTMOBHN7A8SZ7F9C7TYM0TGX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=51eb7364-13d1-4df9-a471-d1b2320c96a5.MOBHN7A8SZ7F9C7T.SEARCH&ppt=None&ppn=None&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/j/x/-original-imahhngsymvs8bfs.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹18,749","₹36,999","49% off","4.3","1,418 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-128-gb/p/itm90c243961f214?pid=MOBHN7A8YFWPC9ZV&lid=LSTMOBHN7A8YFWPC9ZVUK6MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a77e2f28-7c6a-4936-8038-25dde7cf7647.MOBHN7A8YFWPC9ZV.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/j/x/-original-imahhngsymvs8bfs.jpeg?q=70"
