Product Name,Price,Original Price,Discount,Rating,Reviews,Product URL,Image URL
"vivo X300 FE (Lilac Purple, 256 GB)","₹79,999","₹1,19,999","33% off","4.6","152 Ratings","https://www.flipkart.com/vivo-x300-fe-lilac-purple-256-gb/p/itm0c1929579cabb?pid=MOBHMKZ8CGVGTRBF&lid=LSTMOBHMKZ8CGVGTRBFGM9PKT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_82&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHMKZ8CGVGTRBF.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/e/k/-original-imahnhc3he4zarkm.jpeg?q=70"
"vivo X300 FE (Noir Black, 256 GB)","₹79,999","₹1,19,999","33% off","4.6","152 Ratings","https://www.flipkart.com/vivo-x300-fe-noir-black-256-gb/p/itm0c1929579cabb?pid=MOBHMKZ8QBZCHJHZ&lid=LSTMOBHMKZ8QBZCHJHZ1Z1QPL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_92&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHMKZ8QBZCHJHZ.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/w/q/-original-imahnhc3zpmrz9kj.jpeg?q=70"
"OPPO F33 5G (Forest Green, 128 GB)","₹34,999","₹52,999","33% off","4.4","40 Ratings","https://www.flipkart.com/oppo-f33-5g-forest-green-128-gb/p/itm8c5d4a65602fd?pid=MOBHM48FAG5NJ2VJ&lid=LSTMOBHM48FAG5NJ2VJRBR0O6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_103&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBHM48FAG5NJ2VJ.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/t/t/-original-imahmjjrhqmfmyqq.jpeg?q=70"
"Apple iPhone 8 Plus (Space Grey, 64 GB)","₹49,900","₹74,624","33% off","4.6","3,401 Ratings","https://www.flipkart.com/apple-iphone-8-plus-space-grey-64-gb/p/itmexrgvehtzhh9v?pid=MOBEXRGVQKBREZP8&lid=LSTMOBEXRGVQKBREZP8PI8YSV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_116&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBEXRGVQKBREZP8.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/j7ksia80/mobile/t/4/f/apple-iphone-8-plus-mq8g2hn-a-original-imaexsfhxepbngdq.jpeg?q=70"
"OPPO F33 5G (Pearl White, 256 GB)","₹37,998","₹55,999","32% off","4.4","40 Ratings","https://www.flipkart.com/oppo-f33-5g-pearl-white-256-gb/p/itm8c5d4a65602fd?pid=MOBHM48FD8UMWFHH&lid=LSTMOBHM48FD8UMWFHHVP9UHT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_69&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=32049e82-0916-4dda-b943-9dda091389d9.MOBHM48FD8UMWFHH.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/p/q/-original-imahmjjrrhb9gfz5.jpeg?q=70"
"OPPO F33 Pro 5G (Passion Red, 128 GB)","₹37,995","₹55,999","32% off","4.3","80 Ratings","https://www.flipkart.com/oppo-f33-pro-5g-passion-red-128-gb/p/itme0e9af182d309?pid=MOBHM48FVEZEJBTP&lid=LSTMOBHM48FVEZEJBTPTSUVMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_74&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHM48FVEZEJBTP.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/b/j/-original-imahmgg8qztnsaqk.jpeg?q=70"
"OPPO F33 5G (Forest Green, 256 GB)","₹37,998","₹55,999","32% off","4.4","40 Ratings","https://www.flipkart.com/oppo-f33-5g-forest-green-256-gb/p/itm8c5d4a65602fd?pid=MOBHM48FHHMNQPZG&lid=LSTMOBHM48FHHMNQPZGST2R1B&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_84&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHM48FHHMNQPZG.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/t/t/-original-imahmjjrhqmfmyqq.jpeg?q=70"
"OPPO F33 Pro 5G (Misty Forest, 128 GB)","₹37,999","₹55,999","32% off","4.3","80 Ratings","https://www.flipkart.com/oppo-f33-pro-5g-misty-forest-128-gb/p/itme0e9af182d309?pid=MOBHM48FD53MHE92&lid=LSTMOBHM48FD53MHE92JP0ZBD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_87&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHM48FD53MHE92.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/c/n/-original-imahmgg8thfgkshh.jpeg?q=70"
"OPPO F33 Pro 5G (Starry Blue, 128 GB)","₹37,998","₹55,999","32% off","4.3","80 Ratings","https://www.flipkart.com/oppo-f33-pro-5g-starry-blue-128-gb/p/itme0e9af182d309?pid=MOBHM48FZGDYY9D7&lid=LSTMOBHM48FZGDYY9D7U93T9L&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_97&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBHM48FZGDYY9D7.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/v/q/-original-imahmgg8yybhxyjz.jpeg?q=70"
"OPPO Find X9 Ultra (Canyon Orange, 512 GB)","₹1,69,999","₹2,49,999","32% off","5","5 Ratings","https://www.flipkart.com/oppo-find-x9-ultra-canyon-orange-512-gb/p/itma944cf479f633?pid=MOBHN7ZWZJWGGTY9&lid=LSTMOBHN7ZWZJWGGTY9MZMCZM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_98&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBHN7ZWZJWGGTY9.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/r/9/-original-imahnhzt2zbnzjxj.jpeg?q=70"
